epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,11936.8,0.81263,0.9256,0.00938,0.85268,0.73952,0.82975,0.73002,0.62642,0.73947,0.00741,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12122.1,0.81041,0.87993,0.00953,0.85138,0.73955,0.82965,0.73033,0.62433,0.73855,0.00737,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12307.8,0.80879,0.88523,0.00931,0.85898,0.73594,0.83032,0.73148,0.62269,0.73727,0.00735,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12493.6,0.8208,0.86929,0.00912,0.86681,0.73403,0.83046,0.73146,0.62275,0.73506,0.00735,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12678.1,0.7915,0.86491,0.00922,0.86197,0.73592,0.83093,0.73153,0.62136,0.73468,0.00733,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12864.4,0.79515,0.84248,0.00933,0.85823,0.73464,0.82872,0.72943,0.62006,0.73563,0.00731,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13048.7,0.79354,0.84857,0.00906,0.85506,0.7455,0.83238,0.73293,0.6181,0.7372,0.00727,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13234.4,0.80392,0.83152,0.00908,0.84513,0.75398,0.8318,0.73246,0.61733,0.73578,0.00726,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13419,0.78224,0.79796,0.00902,0.84957,0.75178,0.8325,0.7326,0.61669,0.73504,0.00725,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13603.5,0.75694,0.79491,0.00854,0.85276,0.75142,0.83249,0.73343,0.6159,0.73362,0.00724,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13790,0.76465,0.79487,0.0087,0.85606,0.74839,0.83272,0.73367,0.61535,0.73339,0.00723,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13976.6,0.77849,0.78295,0.00868,0.85221,0.74908,0.8327,0.73382,0.61434,0.73277,0.00721,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14162.7,0.75501,0.76048,0.00852,0.85627,0.74665,0.8333,0.73447,0.61361,0.73078,0.00719,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14348.7,0.77022,0.76725,0.00847,0.85571,0.74253,0.83246,0.73394,0.61292,0.73222,0.00718,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14533.3,0.74574,0.7679,0.00849,0.85456,0.74027,0.83273,0.73473,0.61109,0.73247,0.00717,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
