epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,8910.44,0.6083,0.64425,0.00619,0.82664,0.68213,0.77221,0.69994,0.52262,0.94261,0.00602,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9106.83,0.61165,0.62916,0.00607,0.78858,0.70484,0.76943,0.69723,0.51945,0.94097,0.00598,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9300.7,0.59931,0.6268,0.00598,0.80065,0.70661,0.77443,0.70157,0.51455,0.92982,0.00588,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9494.97,0.58634,0.61433,0.006,0.83635,0.69394,0.77818,0.70408,0.51426,0.91449,0.00587,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9693.1,0.57984,0.60401,0.00601,0.83906,0.69325,0.77987,0.70545,0.51361,0.91323,0.00586,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9887.54,0.57532,0.59554,0.00561,0.80804,0.70225,0.77879,0.70485,0.51266,0.91343,0.00585,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10081.1,0.5749,0.59438,0.00584,0.81167,0.70556,0.77951,0.70652,0.51053,0.91818,0.00581,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10275.5,0.56585,0.57202,0.00569,0.8128,0.71691,0.7813,0.70923,0.5089,0.92425,0.00581,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10470.2,0.57486,0.56012,0.00567,0.82337,0.71139,0.78228,0.70998,0.50692,0.92185,0.00577,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10665.6,0.55518,0.55335,0.00564,0.83361,0.7085,0.78103,0.70911,0.50635,0.91709,0.00577,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10858.3,0.54897,0.54365,0.00561,0.84167,0.70956,0.78281,0.71051,0.5045,0.91643,0.00572,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11051.5,0.54065,0.53699,0.0055,0.85488,0.70339,0.78216,0.71103,0.50448,0.91277,0.00571,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11247.6,0.53833,0.51665,0.00523,0.85635,0.70165,0.78225,0.71121,0.50202,0.9119,0.00568,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11443.2,0.54467,0.52484,0.00557,0.86429,0.69905,0.78613,0.71484,0.50148,0.90859,0.00566,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11637.9,0.52899,0.50929,0.00521,0.86368,0.69979,0.78638,0.71556,0.50045,0.9079,0.00563,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11831.9,0.52796,0.49659,0.00499,0.85539,0.70461,0.7869,0.71655,0.49916,0.90603,0.00562,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12028.2,0.51076,0.48906,0.00506,0.8533,0.70354,0.78711,0.71679,0.49878,0.90618,0.00561,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12223.4,0.51175,0.49045,0.0053,0.8594,0.70088,0.78759,0.71711,0.4976,0.90674,0.0056,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12418.3,0.50462,0.48038,0.00511,0.86205,0.69835,0.7876,0.7182,0.49765,0.90493,0.00562,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12613.7,0.4983,0.47922,0.00511,0.86407,0.6973,0.78567,0.71646,0.49821,0.90645,0.00563,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12808.1,0.50096,0.45405,0.00494,0.84798,0.69875,0.78639,0.71773,0.49706,0.90891,0.00561,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13002.7,0.50516,0.45581,0.00484,0.87088,0.69011,0.78692,0.71829,0.49665,0.90934,0.00561,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
