epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1597.85,1.741,0.76927,0.00202,0.76924,0.72745,0.73466,0.41125,1.48892,0.75508,0.00218,0.000155761,0.000155761,0.000155761
92,1612.92,1.77112,0.77101,0.00197,0.77061,0.7273,0.72972,0.40421,1.51517,0.76333,0.00223,0.000141614,0.000141614,0.000141614
93,1628.45,1.68868,0.72649,0.00193,0.77841,0.72553,0.7356,0.40911,1.50312,0.75781,0.00222,0.000127467,0.000127467,0.000127467
94,1644.01,1.62131,0.69566,0.00205,0.77633,0.72072,0.73722,0.41295,1.49081,0.75598,0.00219,0.00011332,0.00011332,0.00011332
95,1659.26,1.71337,0.75444,0.00193,0.78066,0.72762,0.73838,0.41614,1.48696,0.7532,0.00219,9.91726e-05,9.91726e-05,9.91726e-05
96,1674.75,1.65258,0.70127,0.00199,0.78764,0.72081,0.7373,0.41101,1.49566,0.77703,0.0022,8.50255e-05,8.50255e-05,8.50255e-05
97,1690.18,1.65894,0.69022,0.00196,0.78792,0.72301,0.74186,0.4126,1.49228,0.74989,0.00218,7.08784e-05,7.08784e-05,7.08784e-05
98,1706.02,1.6157,0.67631,0.00198,0.78527,0.72474,0.73702,0.41301,1.49073,0.76655,0.00219,5.67313e-05,5.67313e-05,5.67313e-05
99,1721.38,1.70585,0.72336,0.00198,0.7782,0.72547,0.73849,0.41452,1.48331,0.75424,0.00217,4.25842e-05,4.25842e-05,4.25842e-05
100,1736.71,1.57104,0.65803,0.00194,0.7867,0.72075,0.73835,0.41277,1.48711,0.76092,0.00219,2.84371e-05,2.84371e-05,2.84371e-05
