epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,9623.18,0.67326,0.68776,0.0059,0.8675,0.73017,0.82702,0.75237,0.48383,0.71754,0.00538,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9812.52,0.67162,0.65606,0.00569,0.85263,0.74018,0.82628,0.75162,0.48233,0.71192,0.00537,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10003.7,0.67328,0.67847,0.00582,0.86645,0.74011,0.83178,0.75783,0.47989,0.71007,0.00534,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10196.2,0.67274,0.64716,0.00569,0.87118,0.74288,0.83272,0.758,0.47784,0.70951,0.0053,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10388.7,0.65937,0.63832,0.00571,0.87993,0.73589,0.83391,0.76038,0.47567,0.70287,0.00525,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10581,0.65736,0.6394,0.00568,0.83625,0.76615,0.83457,0.76262,0.47397,0.70274,0.00521,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10774.6,0.64584,0.61593,0.00563,0.82671,0.77103,0.83528,0.76384,0.4728,0.69874,0.00519,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10968.3,0.63884,0.59446,0.00559,0.83407,0.77052,0.83729,0.76643,0.47114,0.69531,0.00518,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11160,0.63154,0.59254,0.0053,0.84635,0.75114,0.8363,0.76624,0.4695,0.6967,0.00514,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11349,0.6327,0.58563,0.00553,0.87488,0.74117,0.83741,0.76672,0.46922,0.69487,0.00514,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11540.5,0.6198,0.57607,0.00525,0.87646,0.74243,0.83781,0.7669,0.46929,0.69453,0.00514,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11732.7,0.63107,0.57401,0.00512,0.87239,0.7443,0.83867,0.76754,0.46892,0.69328,0.00513,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11924.7,0.61621,0.55888,0.00519,0.86652,0.75152,0.83946,0.76832,0.46832,0.69494,0.00512,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12116.8,0.61128,0.55147,0.00526,0.87178,0.74582,0.8403,0.76961,0.46735,0.69489,0.0051,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12309.6,0.59227,0.53672,0.00513,0.8614,0.7574,0.84125,0.77046,0.46778,0.69268,0.00511,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12502.6,0.5905,0.52384,0.00514,0.85584,0.7611,0.84146,0.77107,0.46671,0.69505,0.0051,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12693.4,0.59,0.51599,0.00495,0.85613,0.7572,0.84159,0.77153,0.46597,0.69353,0.0051,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12884.5,0.60478,0.51179,0.00481,0.87922,0.73929,0.84195,0.77206,0.4649,0.69604,0.00508,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13076,0.56808,0.50504,0.00491,0.87442,0.74301,0.84113,0.77143,0.46381,0.69559,0.00506,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13267.1,0.57006,0.4997,0.00494,0.87028,0.74713,0.84068,0.77077,0.46373,0.69573,0.00505,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13456.3,0.57762,0.49078,0.00482,0.87034,0.74755,0.84261,0.7719,0.46336,0.69373,0.00505,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13646.5,0.57947,0.49224,0.00481,0.87128,0.75407,0.84507,0.77395,0.46259,0.69521,0.00505,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13837.9,0.55946,0.46442,0.00462,0.86577,0.75857,0.84456,0.77357,0.462,0.69504,0.00504,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14026.9,0.55201,0.4507,0.0046,0.87086,0.75466,0.84482,0.77355,0.46177,0.69552,0.00504,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,14215.9,0.55943,0.46092,0.00473,0.85396,0.76457,0.84275,0.77231,0.46144,0.6944,0.00504,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
